sdss designation,redshift,angular sep,proper sep,sdss r band
J000249.07+004504.8,0.0868,5.9,9.5,16.08
J000249.44+004506.7,0.0865,5.9,9.5,16.43
J000257.21+000750.5,0.0901,45.4,76.0,16.15
J000258.59+000831.0,0.0897,45.4,76.0,16.67
J000323.74+010547.3,0.0993,12.2,22.4,17.98
J000323.74+010559.5,0.0994,12.2,22.4,17.42
J000425.78-095854.4,0.1122,24.1,49.1,16.41
J000426.66-095834.4,0.112,24.1,49.1,16.57
J000431.92-011411.7,0.0887,42.3,70.1,17.22
J000433.25-011334.4,0.0889,42.3,70.1,18.47
J000621.33-100412.6,0.1062,45.6,88.3,17.46
J000623.74-100345.0,0.1056,45.6,88.3,17.34
J000700.56+005410.5,0.0925,56.2,96.7,15.44
J000704.18+005425.0,0.0935,56.2,96.7,16.96
J000948.47+135819.8,0.1179,7.9,16.7,17.39
J000948.49+135811.9,0.1169,7.9,16.7,17.92
J000956.72+000958.4,0.1023,36.7,69.3,16.65
J000958.76+000938.2,0.1027,36.7,69.3,16.81
J001010.89-001430.2,0.114,4.0,8.3,17.26
J001011.16-001430.8,0.1133,4.0,8.3,16.84
J001050.37-010257.6,0.113,5.2,10.6,17.6
J001050.70-010259.1,0.1132,5.2,10.6,19.3
J001112.89-100122.4,0.0838,53.7,84.7,17.7
J001116.45-100126.8,0.084,53.7,84.7,17.41
J001734.86+150524.9,0.0843,40.9,64.1,17.15
J001737.25+150544.6,0.0834,40.9,64.1,17.35
J001842.19-101613.9,0.1215,14.6,32.0,17.02
J001842.81-101625.1,0.122,14.6,32.0,16.85
J001907.45+010941.1,0.1051,6.0,11.6,17.29
J001907.61+010946.6,0.1058,6.0,11.6,18.96
J002208.69+002200.5,0.071,3.1,4.2,15.63
J002208.83+002202.8,0.0707,3.1,4.2,15.57
J002339.83-004855.3,0.0634,48.9,59.6,15.73
J002343.09-004854.4,0.064,48.9,59.6,15.78
J002345.08-010029.9,0.0663,56.7,72.1,17.19
J002348.45-010004.0,0.0646,56.7,72.1,16.32
J002618.12+001005.6,0.1101,16.4,33.1,17.95
J002618.66+000951.3,0.1107,16.4,33.1,18.2
J002636.14-002507.0,0.118,17.6,37.7,18.54
J002636.97-002454.7,0.1184,17.6,37.7,17.6
J004239.54-093053.8,0.0574,77.0,85.7,15.92
J004244.64-093102.8,0.0568,77.0,85.7,15.91
J005113.94+002047.2,0.1124,3.4,6.9,19.28
J005114.12+002049.2,0.1126,3.4,6.9,16.77
J005125.23+160340.1,0.0623,72.9,87.1,14.97
J005127.67+160443.1,0.062,72.9,87.1,15.83
J005141.33+010127.2,0.0666,28.0,36.1,15.01
J005142.87+010143.1,0.0672,28.0,36.1,15.82
J005214.82+003456.4,0.1156,2.9,6.0,19.18
