index,cntr_01,dist_x,pang_x,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
0,1,0.187865,171.663574,0.70445833333,0.75133333333,J000249.07+004504.6,0.7044659,0.7512817,0.0562,0.0472,0.0173,12.849,0.027,39.8,3.309,12.67,0.029,37.2,1.195,10.278,0.083,13.2,0.9269,7.196,0.138,7.9,1.013,2,1,0.0,0.0,0.0,0.0,418,82,0,81,0000,5,nnnn,AAAB,1100,24,24,24,24,13,13,6,13
1,2,0.601511,89.832353,0.706,0.75186111111,J000249.48+004506.7,0.7061671,0.7518616,0.0797,0.0674,0.028,13.563,0.036,30.4,3.309,13.437,0.043,25.2,1.195,12.182,0.456,2.4,0.9269,8.641,,0.1,1.013,2,1,0.0,0.0,0.0,0.0,,,,,0000,3,nnnn,AACU,1100,24,24,24,24,0,13,0,13
2,3,1.867669,71.227404,0.738375,0.13069444444,J000257.32+000751.1,0.7388662,0.1308614,0.0805,0.0657,0.0417,13.551,0.042,25.9,1.694,13.369,0.046,23.6,0.9471,10.398,0.114,9.5,0.8424,8.181,,0.6,1.044,2,1,0.0,0.0,0.0,0.0,-105,107,-34,98,0000,4,nnnn,AABU,1100,24,24,24,24,9,12,0,12
3,4,0.304753,-5.558672,0.744125,0.14194444444,J000258.58+000831.3,0.7441168,0.1420287,0.0503,0.0514,-0.0029,13.477,0.029,38.1,1.259,12.971,0.029,37.8,0.743,9.237,0.04,27.3,0.9651,6.84,0.089,12.2,0.9088,2,0,0.001,0.0,0.0,0.0,-30,78,112,80,0000,0,0000,AAAA,1100,25,25,25,25,13,13,12,13
4,5,0.272915,-79.144243,0.84891666667,1.0964722222,J000323.72+010547.3,0.8488422,1.0964865,0.0609,0.0627,-0.0136,14.26,0.029,37.9,1.005,13.632,0.038,28.6,0.8928,10.372,0.079,13.7,1.012,8.342,0.332,3.3,1.01,2,1,0.0,0.0,0.0,0.0,171,198,90,188,0000,0,nnnn,AAAB,0000,22,22,22,22,10,11,1,11
6,7,0.126338,-104.054248,1.1074166667,-9.9817777778,J000425.77-095854.4,1.1073821,-9.9817863,0.0516,0.0512,-0.0071,13.476,0.026,42.0,3.41,13.168,0.033,33.3,1.151,10.141,0.067,16.1,0.9863,7.723,0.173,6.3,1.06,1,0,0.0,0.0,0.0,0.0,-82,71,-205,74,0000,1,000n,AAAB,2400,27,27,16,16,13,13,1,13
7,8,0.101446,42.058037,1.1110833333,-9.9762222222,J000426.66-095834.3,1.1111025,-9.9762013,0.0525,0.0522,-0.0047,13.508,0.026,41.9,2.884,13.254,0.033,33.1,0.9714,10.76,0.106,10.3,1.061,8.54,0.385,2.8,1.002,1,0,0.0,0.0,0.0,0.0,81,119,-175,123,0000,4,000n,AAAC,2400,28,28,16,16,9,13,0,13
8,9,0.080378,-63.00883,1.133,-1.2365833333,J000431.91-011411.6,1.1329801,-1.2365732,0.0537,0.0535,-0.0108,13.953,0.028,39.3,1.419,13.374,0.032,34.2,0.9476,10.152,0.062,17.6,0.8226,7.745,0.156,7.0,1.019,1,0,0.0,0.0,0.0,0.0,-61,169,-276,159,0000,0,011n,AAAB,1100,25,25,25,25,15,15,2,15
9,10,1.322747,-124.777343,1.1385416667,-1.2262222222,J000433.17-011335.1,1.1382398,-1.2264318,0.0908,0.0929,-0.0228,15.082,0.038,28.9,1.1,14.764,0.069,15.8,0.9072,11.161,0.168,6.5,0.8181,9.004,0.487,2.2,1.081,1,0,0.0,0.0,0.0,0.0,-67,304,-181,314,0000,0,00nn,AABC,1100,25,25,19,25,1,14,0,14
10,11,0.282326,-142.398746,1.588875,-10.070166667,J000621.31-100412.8,1.5888264,-10.0702288,0.0639,0.0636,-0.0062,14.124,0.028,38.5,1.629,13.789,0.048,22.5,0.8543,10.356,0.088,12.4,0.9628,7.943,0.249,4.4,0.8575,1,0,0.0,0.0,0.0,0.0,107,225,28,200,0000,0,001n,AAAB,2400,23,23,20,20,11,12,1,12
